,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2019952,Allstate Corp/The,ALL,0.09%,Property & Casualty Insurance,US,---,"$1,326,603,847.14 ","6,666,686"
,2089212,AMETEK Inc,AME,0.09%,Electrical Components & Equipment,US,---,"$1,313,614,030.56 ","5,864,872"
,B0X7DZ3,Chipotle Mexican Grill Inc,CMG,0.09%,Restaurants,US,---,"$1,309,476,348.44 ","33,688,612"
,2542049,Dominion Energy Inc,D,0.09%,Multi-Utilities,US,---,"$1,308,863,027.67 ","21,752,751"
,B5B2106,Fortinet Inc,FTNT,0.09%,Systems Software,US,---,"$1,308,615,184.26 ","16,104,051"
,2175672,Cardinal Health Inc,CAH,0.09%,Health Care Distributors,US,---,"$1,300,707,318.40 ","6,053,180"
,BZ8VJQ8,Vistra Corp,VST,0.08%,Independent Power Producers & Energy Traders,US,---,"$1,284,594,264.55 ","8,112,373"
,B6WVMH3,CBRE Group Inc,CBRE,0.08%,Real Estate Services,US,---,"$1,272,063,956.56 ","7,468,232"
,2130109,ONEOK Inc,OKE,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,269,499,166.26 ","16,031,054"
,2332262,Fastenal Co,FAST,0.08%,Trading Companies & Distributors,US,---,"$1,268,112,890.56 ","29,246,146"
,2134781,United Rentals Inc,URI,0.08%,Trading Companies & Distributors,US,---,"$1,267,827,184.28 ","1,621,138"
,BK73B42,Corteva Inc,CTVA,0.08%,Fertilizers & Agricultural Chemicals,US,---,"$1,252,930,369.60 ","17,210,582"
,B0J7D57,Ameriprise Financial Inc,AMP,0.08%,Asset Management & Custody Banks,US,---,"$1,247,826,571.41 ","2,366,939"
,2259101,Target Corp,TGT,0.08%,Consumer Staples Merchandise Retail,US,---,"$1,220,977,779.27 ","11,576,541"
,2754060,Rockwell Automation Inc,ROK,0.08%,Electrical Components & Equipment,US,---,"$1,206,113,802.30 ","2,860,462"
,2380863,WW Grainger Inc,GWW,0.08%,Trading Companies & Distributors,US,---,"$1,204,109,341.32 ","1,114,978"
,2567116,Edwards Lifesciences Corp,EW,0.08%,Health Care Equipment,US,---,"$1,202,911,993.44 ","14,785,054"
,BK4N0D7,Carrier Global Corp,CARR,0.08%,Building Products,US,---,"$1,201,854,790.44 ","20,172,118"
,BYW36M8,PayPal Holdings Inc,PYPL,0.08%,Transaction & Payment Processing Services,US,---,"$1,178,884,531.99 ","22,373,971"
,2310194,Electronic Arts Inc,EA,0.08%,Interactive Home Entertainment,US,---,"$1,166,154,041.28 ","5,718,684"
